title,artist,id,uri,labels,distances
I Don't Wanna Know,Friendzone,7BNVTdnnoMPzj8URWmmGMU,spotify:track:7BNVTdnnoMPzj8URWmmGMU,0,0.36334799733430334
Breathe,Prismo,6HGio6Ll8mmI63jwqwi4AS,spotify:track:6HGio6Ll8mmI63jwqwi4AS,0,0.36821517196622905
Just Dawn Hue,Herobust,0j4mEjICbdoBzUBkNdxJIa,spotify:track:0j4mEjICbdoBzUBkNdxJIa,0,0.3715824210898324
S'mores Ft. Popsikl,Trollphace,11rQxvRNyif1MQZCdjGZzP,spotify:track:11rQxvRNyif1MQZCdjGZzP,0,0.37497229794922904
Smooth Operator,Joel Fletcher,4M9ADXIvLbHsF0w9qANZ0x,spotify:track:4M9ADXIvLbHsF0w9qANZ0x,0,0.37868737392734614
Reptile's Theme,Skrillex,1GPVsNek0U5PegVpW0rxcy,spotify:track:1GPVsNek0U5PegVpW0rxcy,0,0.3798110478343596
Island (feat. Nevve),Seven Lions,3HKiR4t12GW18bnPUVhx5l,spotify:track:3HKiR4t12GW18bnPUVhx5l,0,0.38037703643050147
Us Against the World,Darren Styles,0xGefLIJMvEW7GkFp7KHnl,spotify:track:0xGefLIJMvEW7GkFp7KHnl,0,0.3803852464383729
Needed You (StayLoose Remix),ILLENIUM,4hIDKvLeQWelfBkX4W93hH,spotify:track:4hIDKvLeQWelfBkX4W93hH,0,0.3884690343243582
Talk to Me - 13 Remix,Kraysh,0PiQ1RdODbYXEHZJ0G65UP,spotify:track:0PiQ1RdODbYXEHZJ0G65UP,0,0.38947362536824826
Broken - Cash Cash Remix,Tritonal,3RZ7PiDgjKjFXlGKPt8dhK,spotify:track:3RZ7PiDgjKjFXlGKPt8dhK,0,0.3897595709987761
Smile Without U (feat. Nevve),Bear Grillz,0LHxnRDVK7xDHazGTqGpus,spotify:track:0LHxnRDVK7xDHazGTqGpus,0,0.3901713079946601
Wait,August Alsina,3ak6Fscs4qMoVsIwaDLgZv,spotify:track:3ak6Fscs4qMoVsIwaDLgZv,0,0.3930594692021165
Second Chance,Shinedown,4SoW2opWj7agZONjDg77N3,spotify:track:4SoW2opWj7agZONjDg77N3,0,0.3933601477738142
Find Me,DJ Isaac,1qMpizsteqlAZ1AHcQV6wn,spotify:track:1qMpizsteqlAZ1AHcQV6wn,0,0.3933616426764649
Welcome To Mayhem VIP ft. In Hearts Wake,In Hearts Wake,1Mwwp0GcsarilJYn4F6CCe,spotify:track:1Mwwp0GcsarilJYn4F6CCe,0,0.3961858512548004
WITH U,NAZAAR,1xuIethB7B6S14ZdQ2LxoW,spotify:track:1xuIethB7B6S14ZdQ2LxoW,0,0.3985964554636231
Somebody To Love (feat. GLNNA),ARMNHMR,5kXSIYvauj9U6cWCh5nBxt,spotify:track:5kXSIYvauj9U6cWCh5nBxt,0,0.40669758257571803
Do It All Again,Abandoned,7gb21333NUoRxumucJXcW5,spotify:track:7gb21333NUoRxumucJXcW5,0,0.40987876426580155
To the Grave,SNAILS,0fmr5Jlm7SEMzQ4FEpXCgI,spotify:track:0fmr5Jlm7SEMzQ4FEpXCgI,0,0.4131877189228853
For Ever,Zatox,3TRVbGbpw25iGsPlFaGShS,spotify:track:3TRVbGbpw25iGsPlFaGShS,0,0.41441876664488564
Take It All,Kompany,7Bge1ZvrtAjR2X3XgJN7n2,spotify:track:7Bge1ZvrtAjR2X3XgJN7n2,0,0.41578320120821005
Numb,FWLR,630NiPTctVxSOSXaqFdPVS,spotify:track:630NiPTctVxSOSXaqFdPVS,0,0.42015935562455814
Speeding Cars,Walking On Cars,4wLvmlgcHW5ZkNERDIDv5H,spotify:track:4wLvmlgcHW5ZkNERDIDv5H,0,0.4210119736357671
Sunburn,DROELOE,0KL9K9gnnbVEdA5t1F6EIs,spotify:track:0KL9K9gnnbVEdA5t1F6EIs,0,0.42576269831912916
Let Me Go,Sullivan King,6gySerfKKZpMZb1t8gz2HR,spotify:track:6gySerfKKZpMZb1t8gz2HR,0,0.4300595534759228
Beautiful World [Mix Cut] - Original Mix,Blasterjaxx,7xFzJKSGHcfvxRuAD82yob,spotify:track:7xFzJKSGHcfvxRuAD82yob,0,0.43193932038299965
Sad Machine,Porter Robinson,1JY6B9ILvmRla2IKKRZvnH,spotify:track:1JY6B9ILvmRla2IKKRZvnH,0,0.43269766703830403
Give Up On You,hayve,2RwxKOqGh9IEiBpwVLgkQT,spotify:track:2RwxKOqGh9IEiBpwVLgkQT,0,0.43389456305649593
Side By Side (with MKLA),Syn Cole,37107dPB28NderX4Tpbirg,spotify:track:37107dPB28NderX4Tpbirg,0,0.436125348649517
Heart Starts to Beat,Blasterjaxx,02fbPCPI1RZ6J58ZexOV1f,spotify:track:02fbPCPI1RZ6J58ZexOV1f,0,0.43952712284789525
Whiplash,D'Amico & Valax,2ArZ1ddGz0Lc8bwPKwiSTo,spotify:track:2ArZ1ddGz0Lc8bwPKwiSTo,0,0.44061570128189936
Jar of Hearts,KEPIK,3GdjhlnNqJ6feNQgNM8Qzo,spotify:track:3GdjhlnNqJ6feNQgNM8Qzo,0,0.4413665994550682
You Don't Even Know Me,SLANDER,1AcoISuZA2tq5uFOwRA7yu,spotify:track:1AcoISuZA2tq5uFOwRA7yu,0,0.44330922992773575
Icarus,Madeon,1pUsdir2xhSxP0RyBe9lLH,spotify:track:1pUsdir2xhSxP0RyBe9lLH,0,0.4455317266495313
Don't Look Down (Hold On),Excision,65krG6c3veTz66mIdSU16f,spotify:track:65krG6c3veTz66mIdSU16f,0,0.44675493898559193
Lights Out,Taska Black,6rwhrp7xkm8xTSZOBwIyyv,spotify:track:6rwhrp7xkm8xTSZOBwIyyv,0,0.44874056290283915
Sacrifice,yetep,7kilS4xKUVIbegBIUckNdk,spotify:track:7kilS4xKUVIbegBIUckNdk,0,0.4504086905979991
Saving Light (ASOT 800 - Part 3),Gareth Emery,1EbIk2UzaBisbUHeQKAvZ6,spotify:track:1EbIk2UzaBisbUHeQKAvZ6,0,0.4532830678978339
Booyah - Breathe Carolina Remix,Showtek,2PYMzBuG0zSQwGZspca0ez,spotify:track:2PYMzBuG0zSQwGZspca0ez,0,0.4546964974517609
